"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"317","Cal Poly","31","9-22","2082","67.2","2302","74.3","-7.1"
"318","Western Caro.","32","13-19","2190","68.4","2419","75.6","-7.2"
"319","Pepperdine","32","6-26","2283","71.3","2516","78.6","-7.3"
"320","South Fla.","32","10-22","2026","63.3","2260","70.6","-7.3"
"321","Savannah St.","32","15-17","2754","86.1","2991","93.5","-7.4"
"","Youngstown St.","32","8-24","2410","75.3","2647","82.7","-7.4"
"323","CSUN","30","6-24","1983","66.1","2206","73.5","-7.4"
"324","Siena","32","8-24","2166","67.7","2405","75.2","-7.5"
"325","Rice","31","7-24","2114","68.2","2347","75.7","-7.5"
"326","Houston Baptist","31","6-25","2382","76.8","2617","84.4","-7.6"
"327","Fordham","31","9-22","1931","62.3","2179","70.3","-8.0"
"328","Maine","32","6-26","2140","66.9","2408","75.3","-8.4"
"329","East Carolina","30","10-20","1993","66.4","2246","74.9","-8.4"
"330","American","30","6-24","1961","65.4","2215","73.8","-8.5"
"331","Charlotte","29","6-23","2066","71.2","2317","79.9","-8.7"
"332","VMI","30","9-21","1954","65.1","2214","73.8","-8.7"
"333","Marist","31","6-25","2239","72.2","2515","81.1","-8.9"
"334","SIUE","30","9-21","2090","69.7","2362","78.7","-9.1"
"335","USC Upstate","32","7-25","2424","75.8","2723","85.1","-9.3"
"336","South Carolina St.","32","10-22","2355","73.6","2660","83.1","-9.5"
"337","San Jose St.","30","4-26","1974","65.8","2260","75.3","-9.5"
"338","California","32","8-24","2166","67.7","2483","77.6","-9.9"
"339","Alabama St.","31","8-23","2129","68.7","2437","78.6","-9.9"
"340","Florida A&M","34","9-25","2343","68.9","2684","78.9","-10.0"
"341","Pittsburgh","32","8-24","1985","62.0","2316","72.4","-10.3"
"342","Longwood","33","7-26","2088","63.3","2445","74.1","-10.8"
"343","Northern Ariz.","32","5-27","2100","65.6","2512","78.5","-12.9"
"344","Mississippi Val.","32","4-28","2075","64.8","2500","78.1","-13.3"
"","Delaware St.","32","4-28","2034","63.6","2459","76.8","-13.3"
"346","Bryant","31","3-28","2169","70.0","2582","83.3","-13.3"
"347","Northwestern St.","29","4-25","1868","64.4","2264","78.1","-13.7"
"348","Coppin St.","32","5-27","1945","60.8","2384","74.5","-13.7"
"349","UMES","32","7-25","1992","62.3","2473","77.3","-15.0"
"350","Alabama A&M","31","3-28","1873","60.4","2367","76.4","-15.9"
"351","Chicago St.","32","3-29","2171","67.8","2756","86.1","-18.3"
